index,words,jyutping,meanings,note,category_1,category_2,category_3
99,老大,lou5 daai6-2,上年紀的人（與年輕人相對而言；不分性別）。～唔同後生喇！（上年紀的人比不了年輕人了！）,,一、人物,一B男女老少,一B3成年人、成年男性
100,老坑公,lou5 haang1 gung1,老年男性；老頭（略帶貶義）。,[又作“老坑”],一、人物,一B男女老少,一B3成年人、成年男性
101,死佬,sei2 lou2,【詈】對男人辱駡的稱呼（女人多用）；有時妻子用以背後稱呼自己丈夫。,,一、人物,一B男女老少,一B3成年人、成年男性
102,衰公,seoi1 gung1,【詈】對男人辱駡的稱呼（女人多用）；有時妻子用以背後稱呼自己丈夫。,,一、人物,一B男女老少,一B3成年人、成年男性
103,女人形,neoi5 jan4-2 jing4,女人氣十足的男人。,,一、人物,一B男女老少,一B3成年人、成年男性
104,老嘢,lou5 je5,【貶】對老人不尊重的你呼（不分性別。嘢：東西）。,,一、人物,一B男女老少,一B3成年人、成年男性
105,龜公,gwai1 gung1,【喻】【詈】王八，對男人辱駡的稱呼。,,一、人物,一B男女老少,一B3成年人、成年男性
106,婆,po4,詞尾，用於成年女性，略帶貶義。肥～（胖女人。此讀第4聲）│賣菜～（賣菜女人。此讀第2聲）,,一、人物,一B男女老少,一B4成年女性
107,伯爺婆,baak6 je4-1 po4-2,老年女人。,,一、人物,一B男女老少,一B4成年女性
108,*阿婆1,aa3 po4,【敬】對老年女性的尊稱。,[重見一C2],一、人物,一B男女老少,一B4成年女性
109,*伯娘,baak3 noeng4,【敬】對與父母同輩而年齡稍大的女性的稱呼（不用於陌生人）。,[“伯母”在廣州話裡與“百冇”（樣樣都沒有）同音，所以忌諱，故改稱“～”。重見一C2],一、人物,一B男女老少,一B4成年女性
110,大姐,daai6 ze2,【敬】對成年女性的尊稱。,[此與普通話用法相近，但普通話多用於熟人（往往前加姓氏），廣州話除此之外還常用於陌生人],一、人物,一B男女老少,一B4成年女性
111,大姑,daai6 gu1,【敬】對中年以上婦女的尊稱。,,一、人物,一B男女老少,一B4成年女性
112,太,taai3-2,【敬】讀第2聲。對已婚婦女的尊稱，前加其夫姓。楊～│何～。,,一、人物,一B男女老少,一B4成年女性
113,師奶,si1 naai5-1,【舊】【敬】①對年紀稍大的婦人的尊稱。②對女人的泛稱。咪好似個～噉吟嚟吟去啦！（別像個娘兒們似的嘮叨個不停吧！）,,一、人物,一B男女老少,一B4成年女性
114,老坑婆,lou5 haang1 po4-2,婆讀第2聲。老年女性；老太婆（略帶貶義）。,,一、人物,一B男女老少,一B4成年女性
115,老婆乸,lou5 po4 naa2,【貶】【俗】對老年婦女不尊敬的稱呼。,,一、人物,一B男女老少,一B4成年女性
116,婆乸,po4-2 naa2,【貶】【俗】①對不年輕的婦女的不友好的稱呼；婆娘。②對女人的泛稱。我唔理你哋啲～嘅事。（我不管你們娘兒們的事。）,,一、人物,一B男女老少,一B4成年女性
117,老藕,lou5 ngau5,【喻】【貶】【俗】上了年紀，已失去姿色的婦人。,,一、人物,一B男女老少,一B4成年女性
118,男人婆,naam4 jan4 po4,【貶】像男人似的，沒有女人味的女人。,,一、人物,一B男女老少,一B4成年女性
